X,Y,Z
365674.8633,6323551.952,2244
367674.8633,6323551.952,2122
369674.8633,6323551.952,2462
371674.8633,6323551.952,2350
373674.8633,6323551.952,3047
375674.8633,6323551.952,2936
377674.8633,6323551.952,3244
379674.8633,6323551.952,4171
381674.8633,6323551.952,3381
383674.8633,6323551.952,3993
385674.8633,6323551.952,4537
387674.8633,6323551.952,4846
389674.8633,6323551.952,3948
391674.8633,6323551.952,3272
393674.8633,6323551.952,3704
395674.8633,6323551.952,2883
397674.8633,6323551.952,3198
399674.8633,6323551.952,4222
291674.8633,6321551.952,1027
293674.8633,6321551.952,1023
295674.8633,6321551.952,917
297674.8633,6321551.952,505
299674.8633,6321551.952,508
301674.8633,6321551.952,702
303674.8633,6321551.952,970
305674.8633,6321551.952,1245
307674.8633,6321551.952,1666
309674.8633,6321551.952,1522
311674.8633,6321551.952,1511
313674.8633,6321551.952,1702
315674.8633,6321551.952,1081
317674.8633,6321551.952,755
319674.8633,6321551.952,562
321674.8633,6321551.952,509
323674.8633,6321551.952,831
325674.8633,6321551.952,969
327674.8633,6321551.952,673
329674.8633,6321551.952,486
331674.8633,6321551.952,493
333674.8633,6321551.952,500
335674.8633,6321551.952,510
337674.8633,6321551.952,524
339674.8633,6321551.952,538
341674.8633,6321551.952,553
343674.8633,6321551.952,562
345674.8633,6321551.952,567
347674.8633,6321551.952,729
349674.8633,6321551.952,744
351674.8633,6321551.952,1192
353674.8633,6321551.952,1756
355674.8633,6321551.952,1662
357674.8633,6321551.952,1854
359674.8633,6321551.952,2127
361674.8633,6321551.952,2386
363674.8633,6321551.952,2703
365674.8633,6321551.952,2024
367674.8633,6321551.952,1715
369674.8633,6321551.952,1934
371674.8633,6321551.952,2760
373674.8633,6321551.952,3035
375674.8633,6321551.952,2842
377674.8633,6321551.952,3779
379674.8633,6321551.952,3666
381674.8633,6321551.952,3221
383674.8633,6321551.952,4675
385674.8633,6321551.952,5093
387674.8633,6321551.952,5222
389674.8633,6321551.952,4674
391674.8633,6321551.952,4039
393674.8633,6321551.952,3070
395674.8633,6321551.952,2463
397674.8633,6321551.952,3585
399674.8633,6321551.952,4033
401674.8633,6321551.952,4225
403674.8633,6321551.952,4795
293674.8633,6319551.952,913
295674.8633,6319551.952,964
297674.8633,6319551.952,609
299674.8633,6319551.952,535
301674.8633,6319551.952,593
303674.8633,6319551.952,607
305674.8633,6319551.952,990
307674.8633,6319551.952,898
309674.8633,6319551.952,868
311674.8633,6319551.952,896
313674.8633,6319551.952,1306
315674.8633,6319551.952,1309
317674.8633,6319551.952,833
319674.8633,6319551.952,800
321674.8633,6319551.952,515
323674.8633,6319551.952,551
325674.8633,6319551.952,589
327674.8633,6319551.952,683
329674.8633,6319551.952,483
331674.8633,6319551.952,491
333674.8633,6319551.952,494
335674.8633,6319551.952,508
337674.8633,6319551.952,515
339674.8633,6319551.952,529
341674.8633,6319551.952,540
343674.8633,6319551.952,546
345674.8633,6319551.952,740
347674.8633,6319551.952,635
349674.8633,6319551.952,745
351674.8633,6319551.952,931
353674.8633,6319551.952,1287
355674.8633,6319551.952,1573
357674.8633,6319551.952,1774
359674.8633,6319551.952,1845
361674.8633,6319551.952,2215
363674.8633,6319551.952,2711
365674.8633,6319551.952,2083
367674.8633,6319551.952,1567
369674.8633,6319551.952,2157
371674.8633,6319551.952,2976
373674.8633,6319551.952,2562
375674.8633,6319551.952,2650
377674.8633,6319551.952,3736
379674.8633,6319551.952,2865
381674.8633,6319551.952,3800
383674.8633,6319551.952,4516
385674.8633,6319551.952,4321
387674.8633,6319551.952,4308
389674.8633,6319551.952,3452
391674.8633,6319551.952,3184
393674.8633,6319551.952,2837
395674.8633,6319551.952,2604
397674.8633,6319551.952,3809
399674.8633,6319551.952,4106
401674.8633,6319551.952,4104
293674.8633,6317551.952,674
295674.8633,6317551.952,585
297674.8633,6317551.952,580
299674.8633,6317551.952,427
301674.8633,6317551.952,342
303674.8633,6317551.952,505
305674.8633,6317551.952,653
307674.8633,6317551.952,825
309674.8633,6317551.952,537
311674.8633,6317551.952,659
313674.8633,6317551.952,1019
315674.8633,6317551.952,1761
317674.8633,6317551.952,1074
319674.8633,6317551.952,935
321674.8633,6317551.952,761
323674.8633,6317551.952,502
325674.8633,6317551.952,496
327674.8633,6317551.952,515
329674.8633,6317551.952,489
331674.8633,6317551.952,489
333674.8633,6317551.952,494
335674.8633,6317551.952,502
337674.8633,6317551.952,507
339674.8633,6317551.952,516
341674.8633,6317551.952,525
343674.8633,6317551.952,541
345674.8633,6317551.952,567
347674.8633,6317551.952,606
349674.8633,6317551.952,730
351674.8633,6317551.952,1098
353674.8633,6317551.952,1580
355674.8633,6317551.952,1394
357674.8633,6317551.952,1358
359674.8633,6317551.952,1767
361674.8633,6317551.952,2125
363674.8633,6317551.952,1988
365674.8633,6317551.952,1766
367674.8633,6317551.952,1651
369674.8633,6317551.952,2370
371674.8633,6317551.952,2533
373674.8633,6317551.952,2154
375674.8633,6317551.952,2535
377674.8633,6317551.952,3190
379674.8633,6317551.952,2930
381674.8633,6317551.952,3774
383674.8633,6317551.952,3779
385674.8633,6317551.952,3933
387674.8633,6317551.952,4139
389674.8633,6317551.952,4143
391674.8633,6317551.952,3390
393674.8633,6317551.952,2393
395674.8633,6317551.952,2939
397674.8633,6317551.952,3772
399674.8633,6317551.952,4405
401674.8633,6317551.952,5151
403674.8633,6317551.952,4853
413674.8633,6317551.952,4197
415674.8633,6317551.952,4175
421674.8633,6317551.952,4509
293674.8633,6315551.952,772
295674.8633,6315551.952,622
297674.8633,6315551.952,553
299674.8633,6315551.952,731
301674.8633,6315551.952,385
303674.8633,6315551.952,315
305674.8633,6315551.952,364
307674.8633,6315551.952,421
309674.8633,6315551.952,568
311674.8633,6315551.952,907
313674.8633,6315551.952,1350
315674.8633,6315551.952,1904
317674.8633,6315551.952,1616
319674.8633,6315551.952,1180
321674.8633,6315551.952,1339
323674.8633,6315551.952,644
325674.8633,6315551.952,499
327674.8633,6315551.952,493
329674.8633,6315551.952,491
331674.8633,6315551.952,486
333674.8633,6315551.952,489
335674.8633,6315551.952,498
337674.8633,6315551.952,501
339674.8633,6315551.952,507
341674.8633,6315551.952,515
343674.8633,6315551.952,532
345674.8633,6315551.952,558
347674.8633,6315551.952,592
349674.8633,6315551.952,781
351674.8633,6315551.952,1125
353674.8633,6315551.952,1435
355674.8633,6315551.952,1197
357674.8633,6315551.952,1181
359674.8633,6315551.952,1619
361674.8633,6315551.952,1741
363674.8633,6315551.952,1845
365674.8633,6315551.952,1351
367674.8633,6315551.952,1730
369674.8633,6315551.952,2213
371674.8633,6315551.952,2277
373674.8633,6315551.952,1760
375674.8633,6315551.952,2454
377674.8633,6315551.952,2256
379674.8633,6315551.952,3075
381674.8633,6315551.952,3284
383674.8633,6315551.952,3935
385674.8633,6315551.952,3603
387674.8633,6315551.952,3806
389674.8633,6315551.952,3567
391674.8633,6315551.952,3442
393674.8633,6315551.952,2377
395674.8633,6315551.952,2915
397674.8633,6315551.952,3843
399674.8633,6315551.952,4402
401674.8633,6315551.952,3786
403674.8633,6315551.952,4214
405674.8633,6315551.952,4623
411674.8633,6315551.952,3900
413674.8633,6315551.952,3964
415674.8633,6315551.952,3654
417674.8633,6315551.952,3683
419674.8633,6315551.952,4448
421674.8633,6315551.952,3921
423674.8633,6315551.952,4051
425674.8633,6315551.952,4437
295674.8633,6313551.952,1102
297674.8633,6313551.952,916
299674.8633,6313551.952,648
301674.8633,6313551.952,304
303674.8633,6313551.952,339
305674.8633,6313551.952,771
307674.8633,6313551.952,611
309674.8633,6313551.952,983
311674.8633,6313551.952,1329
313674.8633,6313551.952,1875
315674.8633,6313551.952,1859
317674.8633,6313551.952,1372
319674.8633,6313551.952,1207
321674.8633,6313551.952,983
323674.8633,6313551.952,624
325674.8633,6313551.952,491
327674.8633,6313551.952,489
329674.8633,6313551.952,483
331674.8633,6313551.952,485
333674.8633,6313551.952,490
335674.8633,6313551.952,488
337674.8633,6313551.952,493
339674.8633,6313551.952,498
341674.8633,6313551.952,511
343674.8633,6313551.952,535
345674.8633,6313551.952,558
347674.8633,6313551.952,624
349674.8633,6313551.952,777
351674.8633,6313551.952,1173
353674.8633,6313551.952,1104
355674.8633,6313551.952,1018
357674.8633,6313551.952,1189
359674.8633,6313551.952,1166
361674.8633,6313551.952,1540
363674.8633,6313551.952,1477
365674.8633,6313551.952,1377
367674.8633,6313551.952,1862
369674.8633,6313551.952,2162
371674.8633,6313551.952,2321
373674.8633,6313551.952,1539
375674.8633,6313551.952,2316
377674.8633,6313551.952,2250
379674.8633,6313551.952,2867
381674.8633,6313551.952,3704
383674.8633,6313551.952,3597
385674.8633,6313551.952,3316
387674.8633,6313551.952,3584
389674.8633,6313551.952,3953
391674.8633,6313551.952,3479
393674.8633,6313551.952,2358
395674.8633,6313551.952,2681
397674.8633,6313551.952,3718
399674.8633,6313551.952,4424
401674.8633,6313551.952,3738
403674.8633,6313551.952,3402
405674.8633,6313551.952,4403
409674.8633,6313551.952,4602
411674.8633,6313551.952,3697
413674.8633,6313551.952,4314
415674.8633,6313551.952,3751
417674.8633,6313551.952,3509
419674.8633,6313551.952,4173
421674.8633,6313551.952,3648
423674.8633,6313551.952,4169
425674.8633,6313551.952,4513
295674.8633,6311551.952,1145
297674.8633,6311551.952,818
299674.8633,6311551.952,517
301674.8633,6311551.952,254
303674.8633,6311551.952,422
305674.8633,6311551.952,903
307674.8633,6311551.952,815
309674.8633,6311551.952,1353
311674.8633,6311551.952,1527
313674.8633,6311551.952,1595
315674.8633,6311551.952,1292
317674.8633,6311551.952,900
319674.8633,6311551.952,786
321674.8633,6311551.952,912
323674.8633,6311551.952,497
325674.8633,6311551.952,490
327674.8633,6311551.952,487
329674.8633,6311551.952,484
331674.8633,6311551.952,480
333674.8633,6311551.952,483
335674.8633,6311551.952,485
337674.8633,6311551.952,491
339674.8633,6311551.952,492
341674.8633,6311551.952,607
343674.8633,6311551.952,661
345674.8633,6311551.952,703
347674.8633,6311551.952,668
349674.8633,6311551.952,917
351674.8633,6311551.952,1312
353674.8633,6311551.952,1037
355674.8633,6311551.952,886
357674.8633,6311551.952,935
359674.8633,6311551.952,1025
361674.8633,6311551.952,1144
363674.8633,6311551.952,1301
365674.8633,6311551.952,1348
367674.8633,6311551.952,1834
369674.8633,6311551.952,2200
371674.8633,6311551.952,1794
373674.8633,6311551.952,1669
375674.8633,6311551.952,2005
377674.8633,6311551.952,2345
379674.8633,6311551.952,2754
381674.8633,6311551.952,3249
383674.8633,6311551.952,3355
385674.8633,6311551.952,3236
387674.8633,6311551.952,3124
389674.8633,6311551.952,4033
391674.8633,6311551.952,3239
393674.8633,6311551.952,2395
395674.8633,6311551.952,2942
397674.8633,6311551.952,3523
399674.8633,6311551.952,4113
401674.8633,6311551.952,3619
403674.8633,6311551.952,3308
405674.8633,6311551.952,4352
407674.8633,6311551.952,4249
409674.8633,6311551.952,3771
411674.8633,6311551.952,3343
413674.8633,6311551.952,3418
415674.8633,6311551.952,3684
417674.8633,6311551.952,3628
419674.8633,6311551.952,3339
421674.8633,6311551.952,3632
423674.8633,6311551.952,4088
425674.8633,6311551.952,4576
427674.8633,6311551.952,5589
295674.8633,6309551.952,771
297674.8633,6309551.952,553
299674.8633,6309551.952,316
301674.8633,6309551.952,256
303674.8633,6309551.952,478
305674.8633,6309551.952,635
307674.8633,6309551.952,1006
309674.8633,6309551.952,855
311674.8633,6309551.952,1223
313674.8633,6309551.952,1598
315674.8633,6309551.952,968
317674.8633,6309551.952,758
319674.8633,6309551.952,597
321674.8633,6309551.952,526
323674.8633,6309551.952,499
325674.8633,6309551.952,489
327674.8633,6309551.952,482
329674.8633,6309551.952,478
331674.8633,6309551.952,480
333674.8633,6309551.952,481
335674.8633,6309551.952,482
337674.8633,6309551.952,486
339674.8633,6309551.952,485
341674.8633,6309551.952,492
343674.8633,6309551.952,626
345674.8633,6309551.952,667
347674.8633,6309551.952,1170
349674.8633,6309551.952,1144
351674.8633,6309551.952,1182
353674.8633,6309551.952,1051
355674.8633,6309551.952,858
357674.8633,6309551.952,900
359674.8633,6309551.952,871
361674.8633,6309551.952,1004
363674.8633,6309551.952,1127
365674.8633,6309551.952,1698
367674.8633,6309551.952,1700
369674.8633,6309551.952,1602
